20
0	5	INF	10	6	INF	INF	1	INF	INF	0	5	INF	10	6	INF	INF	1	INF	INF
INF	0	3	INF	3	11	5	INF	INF	INF	INF	0	3	INF	3	11	5	INF	INF	INF
INF	INF	0	1	5	7	INF	4	2	3	INF	INF	0	1	5	7	INF	4	2	3
INF	INF	INF	0	6	10	3	INF	4	7	INF	INF	INF	0	6	10	3	INF	4	7
INF	INF	INF	INF	0	3	5	1	INF	4	INF	INF	INF	INF	0	3	5	1	INF	4
INF	INF	INF	INF	INF	0	7	6	3	1	INF	INF	INF	INF	INF	0	7	6	3	1
INF	INF	INF	INF	INF	INF	0	5	12	INF	INF	INF	INF	INF	INF	INF	0	5	12	INF
INF	INF	INF	INF	INF	INF	INF	0	4	6	INF	INF	INF	INF	INF	INF	INF	0	4	6
INF	INF	INF	INF	INF	INF	INF	INF	0	4	INF	INF	INF	INF	INF	INF	INF	INF	0	4
INF	INF	INF	INF	INF	INF	INF	INF	INF	0	INF	INF	INF	INF	INF	INF	INF	INF	INF	0
0	5	INF	10	6	INF	INF	1	INF	INF	0	5	INF	10	6	INF	INF	1	INF	INF
INF	0	3	INF	3	11	5	INF	INF	INF	INF	0	3	INF	3	11	5	INF	INF	INF
INF	INF	0	1	5	7	INF	4	2	3	INF	INF	0	1	5	7	INF	4	2	3
INF	INF	INF	0	6	10	3	INF	4	7	INF	INF	INF	0	6	10	3	INF	4	7
INF	INF	INF	INF	0	3	5	1	INF	4	INF	INF	INF	INF	0	3	5	1	INF	4
INF	INF	INF	INF	INF	0	7	6	3	1	INF	INF	INF	INF	INF	0	7	6	3	1
INF	INF	INF	INF	INF	INF	0	5	12	INF	INF	INF	INF	INF	INF	INF	0	5	12	INF
INF	INF	INF	INF	INF	INF	INF	0	4	6	INF	INF	INF	INF	INF	INF	INF	0	4	6
INF	INF	INF	INF	INF	INF	INF	INF	0	4	INF	INF	INF	INF	INF	INF	INF	INF	0	4
INF	INF	INF	INF	INF	INF	INF	INF	INF	0	INF	INF	INF	INF	INF	INF	INF	INF	INF	0
